timestamp,ap0,av0,bp0,bv0,ap1,av1,bp1,bv1,ap2,av2,bp2,bv2,ap3,av3,bp3,bv3,ap4,av4,bp4,bv4,ap5,av5,bp5,bv5,ap6,av6,bp6,bv6,ap7,av7,bp7,bv7,ap8,av8,bp8,bv8,ap9,av9,bp9,bv9
2024-11-12T06:50:44.863657Z,220.890000000,0.053108860,220.850000000,45.277746720,220.900000000,54.324145960,220.830000000,45.283702390,220.920000000,135.798936310,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,226.293260250,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,189.113003680,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550,221.050000000,3.791485180,220.720000000,12.350000000
2024-11-12T06:50:44.926980Z,220.890000000,0.053108860,220.850000000,45.277746720,220.900000000,9.053870520,220.830000000,45.283702390,220.920000000,135.798936310,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,226.293260250,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,189.113003680,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550,221.050000000,3.791485180,220.720000000,12.350000000
2024-11-12T06:50:44.930014Z,220.890000000,0.053108860,220.850000000,45.277746720,220.900000000,9.053870520,220.830000000,45.283702390,220.920000000,181.064830830,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,226.293260250,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,189.113003680,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550,221.050000000,3.791485180,220.720000000,12.350000000
2024-11-12T06:50:44.930173Z,220.890000000,0.053108860,220.850000000,45.277746720,220.900000000,9.053870520,220.830000000,45.283702390,220.910000000,45.268608440,220.790000000,0.190180540,220.920000000,181.064830830,220.780000000,77.166448030,220.950000000,7.910000000,220.770000000,154.004583950,220.960000000,226.293260250,220.760000000,8.502365000,220.980000000,114.188000000,220.750000000,32.540000000,220.990000000,189.113003680,220.740000000,103.877329620,221.000000000,347.688063300,220.730000000,117.055794550,221.010000000,452.841739030,220.720000000,12.350000000
2024-11-12T06:50:44.930468Z,220.890000000,0.053108860,220.850000000,45.277746720,220.900000000,9.053870520,220.830000000,45.283702390,220.910000000,45.268608440,220.790000000,0.190180540,220.920000000,181.064830830,220.780000000,77.166448030,220.950000000,7.910000000,220.770000000,154.004583950,220.960000000,226.293260250,220.760000000,8.502365000,220.980000000,114.188000000,220.750000000,32.540000000,220.990000000,8.040135970,220.740000000,103.877329620,221.000000000,347.688063300,220.730000000,117.055794550,221.010000000,452.841739030,220.720000000,12.350000000
2024-11-12T06:50:44.930605Z,220.890000000,0.053108860,220.860000000,45.276611750,220.900000000,9.053870520,220.850000000,45.277746720,220.910000000,45.268608440,220.830000000,45.283702390,220.920000000,181.064830830,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,226.293260250,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,8.040135970,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550
2024-11-12T06:50:44.934266Z,220.890000000,0.053108860,220.860000000,45.276611750,220.900000000,9.053870520,220.830000000,45.283702390,220.910000000,45.268608440,220.790000000,0.190180540,220.920000000,181.064830830,220.780000000,77.166448030,220.950000000,7.910000000,220.770000000,154.004583950,220.960000000,226.293260250,220.760000000,8.502365000,220.980000000,114.188000000,220.750000000,32.540000000,220.990000000,8.040135970,220.740000000,103.877329620,221.000000000,347.688063300,220.730000000,117.055794550,221.010000000,452.841739030,220.720000000,12.350000000
2024-11-12T06:50:44.936221Z,220.890000000,0.053108860,220.860000000,45.276611750,220.900000000,9.053870520,220.830000000,45.283702390,220.910000000,45.268608440,220.790000000,0.190180540,220.920000000,135.798936310,220.780000000,77.166448030,220.950000000,7.910000000,220.770000000,154.004583950,220.960000000,226.293260250,220.760000000,8.502365000,220.980000000,114.188000000,220.750000000,32.540000000,220.990000000,8.040135970,220.740000000,103.877329620,221.000000000,347.688063300,220.730000000,117.055794550,221.010000000,452.841739030,220.720000000,12.350000000
2024-11-12T06:50:44.939103Z,220.890000000,0.053108860,220.860000000,45.276611750,220.900000000,9.053870520,220.850000000,45.279195470,220.910000000,45.268608440,220.830000000,45.283702390,220.920000000,135.798936310,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,226.293260250,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,8.040135970,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550
2024-11-12T06:50:45.000014Z,220.890000000,0.053108860,220.860000000,45.276611750,220.900000000,9.053870520,220.850000000,45.279195470,220.910000000,45.268608440,220.830000000,45.283702390,220.920000000,135.798936310,220.790000000,0.190180540,220.950000000,7.910000000,220.780000000,77.166448030,220.960000000,228.548651580,220.770000000,154.004583950,220.980000000,114.188000000,220.760000000,8.502365000,220.990000000,8.040135970,220.750000000,32.540000000,221.000000000,347.688063300,220.740000000,103.877329620,221.010000000,452.841739030,220.730000000,117.055794550
