timestamp,symbol,open,high,low,close,volume,vwap,trades,tstart,ttrue
2024-11-12T06:15:00.000000Z,BTC/USD,88412.7,88425.0,88285.7,88425.0,9.89787281,88322.9,196,2024-11-12T06:10:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:20:00.000000Z,BTC/USD,88425.0,88439.6,88250.0,88358.5,5.22193609,88284.1,119,2024-11-12T06:15:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:25:00.000000Z,BTC/USD,88358.4,88609.9,88358.4,88527.8,4.46456263,88571.9,177,2024-11-12T06:20:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:30:00.000000Z,BTC/USD,88527.9,88654.1,88435.9,88608.0,5.11760509,88633.5,156,2024-11-12T06:25:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:35:00.000000Z,BTC/USD,88608.0,88888.0,88600.0,88888.0,4.75301121,88794.1,186,2024-11-12T06:30:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:40:00.000000Z,BTC/USD,88888.0,88955.0,88835.3,88950.0,9.37774475,88892.8,174,2024-11-12T06:35:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:45:00.000000Z,BTC/USD,88950.0,89460.4,88950.0,89444.4,32.81696199,89211.9,536,2024-11-12T06:40:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:50:00.000000Z,BTC/USD,89444.4,89844.9,89444.4,89783.1,67.08862611,89654.2,834,2024-11-12T06:45:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:55:00.000000Z,BTC/USD,89783.0,89783.1,89683.1,89700.0,5.98289037,89756.0,94,2024-11-12T06:50:00.000000000Z,2024-11-12T06:50:45.490940032Z
2024-11-12T06:10:00.000000Z,DOGE/USD,0.4072298,0.4142552,0.4060594,0.4092441,3453689.44820097,0.410614,858,2024-11-12T06:05:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:15:00.000000Z,DOGE/USD,0.4091054,0.4100649,0.4040289,0.4100649,2508732.74098766,0.407358,653,2024-11-12T06:10:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:20:00.000000Z,DOGE/USD,0.409781,0.410063,0.4008259,0.4061762,3435891.93811676,0.4061962,795,2024-11-12T06:15:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:25:00.000000Z,DOGE/USD,0.4069814,0.4085176,0.4048119,0.4053492,1359137.09704479,0.4061372,359,2024-11-12T06:20:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:30:00.000000Z,DOGE/USD,0.4053975,0.4054126,0.3958339,0.3977176,10941181.53805361,0.3998838,1341,2024-11-12T06:25:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:35:00.000000Z,DOGE/USD,0.3975692,0.4032163,0.3923082,0.4018217,2807127.54853775,0.3981429,698,2024-11-12T06:30:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:40:00.000000Z,DOGE/USD,0.4019431,0.4051549,0.3982568,0.402663,3603455.93163577,0.4015565,576,2024-11-12T06:35:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:45:00.000000Z,DOGE/USD,0.4024629,0.404456,0.4002135,0.4018246,2589212.02447858,0.4014823,383,2024-11-12T06:40:00.000000000Z,2024-11-12T06:50:45.491220262Z
2024-11-12T06:50:00.000000Z,DOGE/USD,0.4014346,0.4040029,0.4004323,0.4006571,2927774.59533895,0.4024545,520,2024-11-12T06:45:00.000000000Z,2024-11-12T06:50:45.491220262Z
