timestamp,ap0,av0,bp0,bv0,ap1,av1,bp1,bv1,ap2,av2,bp2,bv2,ap3,av3,bp3,bv3,ap4,av4,bp4,bv4,ap5,av5,bp5,bv5,ap6,av6,bp6,bv6,ap7,av7,bp7,bv7,ap8,av8,bp8,bv8,ap9,av9,bp9,bv9
2024-11-12T06:50:44.845405Z,0.399716700,61.249493250,0.399514100,11019.167479490,0.399796600,9595.394210780,0.399512100,4387.500000000,0.399796700,2193.750000000,0.399472200,3197.770918960,0.399969200,70593.273854170,0.399471200,35048.700000000,0.399996700,2193.750000000,0.399432100,2193.750000000,0.400048800,51397.098005750,0.399362300,63055.949795870,0.400059800,7290.000000000,0.399352100,2193.750000000,0.400117400,2009.565673460,0.399329500,9595.394210780,0.400229200,2193.750000000,0.399289600,2193.750000000,0.400242700,14990.906533710,0.399264700,1020.106399590
2024-11-12T06:50:44.845454Z,0.399716700,61.249493250,0.399514100,38017.620056540,0.399796600,9595.394210780,0.399512100,4387.500000000,0.399796700,2193.750000000,0.399472200,3197.770918960,0.399969200,70593.273854170,0.399471200,35048.700000000,0.399996700,2193.750000000,0.399432100,2193.750000000,0.400048800,51397.098005750,0.399362300,63055.949795870,0.400059800,7290.000000000,0.399352100,2193.750000000,0.400117400,2009.565673460,0.399329500,9595.394210780,0.400229200,2193.750000000,0.399289600,2193.750000000,0.400242700,14990.906533710,0.399264700,1020.106399590
2024-11-12T06:50:44.845474Z,0.399716700,61.249493250,0.399514100,38017.620056540,0.399796600,9595.394210780,0.399512100,4387.500000000,0.399796700,2193.750000000,0.399474700,26008.399091670,0.399969200,70593.273854170,0.399472200,3197.770918960,0.399996700,2193.750000000,0.399471200,35048.700000000,0.400048800,51397.098005750,0.399432100,2193.750000000,0.400059800,7290.000000000,0.399362300,63055.949795870,0.400117400,2009.565673460,0.399352100,2193.750000000,0.400229200,2193.750000000,0.399329500,9595.394210780,0.400242700,14990.906533710,0.399289600,2193.750000000
2024-11-12T06:50:44.846081Z,0.399716700,61.249493250,0.399663100,10850.244279300,0.399796600,9595.394210780,0.399514100,38017.620056540,0.399796700,2193.750000000,0.399512100,4387.500000000,0.399969200,70593.273854170,0.399474700,26008.399091670,0.399996700,2193.750000000,0.399472200,3197.770918960,0.400048800,51397.098005750,0.399471200,35048.700000000,0.400059800,7290.000000000,0.399432100,2193.750000000,0.400117400,2009.565673460,0.399362300,63055.949795870,0.400229200,2193.750000000,0.399352100,2193.750000000,0.400242700,14990.906533710,0.399329500,9595.394210780
2024-11-12T06:50:44.847777Z,0.399716700,61.249493250,0.399663100,10850.244279300,0.399796600,9595.394210780,0.399534000,2193.750000000,0.399796700,2193.750000000,0.399514100,38017.620056540,0.399969200,70593.273854170,0.399512100,4387.500000000,0.399996700,2193.750000000,0.399474700,26008.399091670,0.400048800,51397.098005750,0.399472200,3197.770918960,0.400059800,7290.000000000,0.399471200,35048.700000000,0.400117400,2009.565673460,0.399432100,2193.750000000,0.400229200,2193.750000000,0.399362300,63055.949795870,0.400242700,14990.906533710,0.399352100,2193.750000000
2024-11-12T06:50:44.847816Z,0.399716700,61.249493250,0.399663100,10850.244279300,0.399796600,9595.394210780,0.399554000,2193.750000000,0.399796700,2193.750000000,0.399534000,2193.750000000,0.399969200,70593.273854170,0.399514100,38017.620056540,0.399996700,2193.750000000,0.399512100,4387.500000000,0.400048800,51397.098005750,0.399474700,26008.399091670,0.400059800,7290.000000000,0.399472200,3197.770918960,0.400117400,2009.565673460,0.399471200,35048.700000000,0.400229200,2193.750000000,0.399432100,2193.750000000,0.400242700,14990.906533710,0.399362300,63055.949795870
2024-11-12T06:50:44.847891Z,0.399716700,61.249493250,0.399663100,10850.244279300,0.399796600,9595.394210780,0.399554000,2193.750000000,0.399969200,70593.273854170,0.399534000,2193.750000000,0.399996700,2193.750000000,0.399514100,38017.620056540,0.400048800,51397.098005750,0.399512100,4387.500000000,0.400059800,7290.000000000,0.399474700,26008.399091670,0.400117400,2009.565673460,0.399472200,3197.770918960,0.400229200,2193.750000000,0.399471200,35048.700000000,0.400242700,14990.906533710,0.399432100,2193.750000000,0.400268200,5631.019387120,0.399362300,63055.949795870
2024-11-12T06:50:44.848224Z,0.399716700,61.249493250,0.399663100,10850.244279300,0.399796600,9595.394210780,0.399554000,2193.750000000,0.399969200,70593.273854170,0.399534000,2193.750000000,0.399996700,2193.750000000,0.399514100,38017.620056540,0.400027400,7433.000000000,0.399512100,4387.500000000,0.400048800,51397.098005750,0.399474700,26008.399091670,0.400059800,7290.000000000,0.399472200,3197.770918960,0.400117400,2009.565673460,0.399471200,35048.700000000,0.400229200,2193.750000000,0.399432100,2193.750000000,0.400242700,14990.906533710,0.399362300,63055.949795870
2024-11-12T06:50:44.848432Z,0.399716700,61.249493250,0.399683000,2193.750000000,0.399796600,9595.394210780,0.399663100,10850.244279300,0.399969200,70593.273854170,0.399554000,2193.750000000,0.399996700,2193.750000000,0.399534000,2193.750000000,0.400027400,7433.000000000,0.399514100,38017.620056540,0.400048800,51397.098005750,0.399512100,4387.500000000,0.400059800,7290.000000000,0.399474700,26008.399091670,0.400117400,2009.565673460,0.399472200,3197.770918960,0.400229200,2193.750000000,0.399471200,35048.700000000,0.400242700,14990.906533710,0.399432100,2193.750000000
2024-11-12T06:50:44.848481Z,0.399716700,61.249493250,0.399683000,2193.750000000,0.399796600,9595.394210780,0.399663100,10850.244279300,0.399969200,70593.273854170,0.399554000,2193.750000000,0.399996700,2193.750000000,0.399534000,2193.750000000,0.400027400,7433.000000000,0.399514100,38017.620056540,0.400048800,51397.098005750,0.399512100,2193.750000000,0.400059800,7290.000000000,0.399474700,26008.399091670,0.400117400,2009.565673460,0.399472200,3197.770918960,0.400229200,2193.750000000,0.399471200,35048.700000000,0.400242700,14990.906533710,0.399432100,2193.750000000
