side,ts_event,ts_recv,price,size,action,order_id,symbol
a,2024-11-12T06:50:46.236350940Z,2024-11-11 23:50:45.974420,0.3996279,2193.75,add,OJIE2L-OAQTB-WM3UW3,DOGE/USD
a,2024-11-12T06:50:46.236513652Z,2024-11-11 23:50:45.974708,0.3996293,2193.75,delete,O2JI2X-MIFNE-HENJLB,DOGE/USD
a,2024-11-12T06:50:46.127793833Z,2024-11-11 23:50:45.974708,0.3999166,7433.0,add,ODGH7Y-SVRJT-OF2X5P,DOGE/USD
a,2024-11-12T06:50:46.236671390Z,2024-11-11 23:50:45.974937,220.92,17.09441927,add,OV66Z6-F4E24-3SSR5N,SOL/USD
b,2024-11-12T06:50:46.237585581Z,2024-11-11 23:50:45.975160,220.84,45.28035778,add,OL3RYP-RWXV4-Y7BWYK,SOL/USD
a,2024-11-12T06:50:46.237633871Z,2024-11-11 23:50:45.975367,0.3996757,9936.0108937,add,OFMGHX-PJGP2-7QGBYK,DOGE/USD
b,2024-11-12T06:50:46.239589260Z,2024-11-11 23:50:45.975583,0.3994725,10471.02088957,delete,OABIK5-5HDPL-OID3B4,DOGE/USD
b,2024-11-12T06:50:38.856903576Z,2024-11-11 23:50:45.975583,0.3991438,18820.66417788,add,O5OXNA-UI4SJ-D22HXM,DOGE/USD
a,2024-11-12T06:50:46.239814217Z,2024-11-11 23:50:45.975865,3391.24,0.43037043,delete,ONB4LC-O6JQM-GEGTTD,ETH/USD
a,2024-11-12T06:50:45.037276713Z,2024-11-11 23:50:45.975865,3392.49,1.472,add,OFPWIZ-FNSMP-DUH5BO,ETH/USD
a,2024-11-12T06:50:45.039269800Z,2024-11-11 23:50:45.975865,3392.49,2.956,add,OZ73BX-QCKBR-OLLTFD,ETH/USD
b,2024-11-12T06:50:46.240143305Z,2024-11-11 23:50:45.976125,0.3994895,2193.75,delete,OCXREN-HZLVO-CDDVOV,DOGE/USD
b,2024-11-12T06:50:44.756120998Z,2024-11-11 23:50:45.976125,0.3991296,2193.75,add,OXB26X-5O54N-JA3ZAW,DOGE/USD
a,2024-11-12T06:50:46.240547033Z,2024-11-11 23:50:45.976344,0.3996757,9936.0108937,delete,OFMGHX-PJGP2-7QGBYK,DOGE/USD
a,2024-11-12T06:50:46.127793833Z,2024-11-11 23:50:45.976344,0.3999166,7433.0,add,ODGH7Y-SVRJT-OF2X5P,DOGE/USD
a,2024-11-12T06:50:46.244191685Z,2024-11-11 23:50:45.976620,3390.73,4.24812982,delete,OPJ5NP-X7GYH-53D3SK,ETH/USD
a,2024-11-12T06:50:45.001764838Z,2024-11-11 23:50:45.976620,3392.5,73.69196974,add,O7KSEL-QULB4-NSHO24,ETH/USD
a,2024-11-12T06:50:46.244191689Z,2024-11-11 23:50:45.976859,3391.15,4.24812982,add,OV23UF-LSJJI-O5Y7IJ,ETH/USD
a,2024-11-12T06:50:46.245586770Z,2024-11-11 23:50:45.977080,220.9,45.27043914,add,OLPLAQ-TYDH5-T4MNQ5,SOL/USD
a,2024-11-12T06:50:46.246063878Z,2024-11-11 23:50:45.977301,3391.15,4.24812982,add,OJWNHR-OWFLT-MHOXKU,ETH/USD
b,2024-11-12T06:50:46.246885177Z,2024-11-11 23:50:45.977583,0.3994059,2193.75,delete,OLHNGX-6DW43-VZ7CHR,DOGE/USD
b,2024-11-12T06:50:43.228524560Z,2024-11-11 23:50:45.977583,0.399127,5631.01938712,add,OEF7MD-WPV35-USCX3F,DOGE/USD
b,2024-11-12T06:50:46.248040423Z,2024-11-11 23:50:45.977872,3388.37,3.4,delete,OR3ELB-VZ7RA-NFP2X5,ETH/USD
b,2024-11-12T06:50:09.049327114Z,2024-11-11 23:50:45.977872,3386.24,2.7,add,OGHZNP-J6OVO-E6TR7U,ETH/USD
a,2024-11-12T06:50:46.226928600Z,2024-11-11 23:50:45.978153,89742.9,0.01147803,delete,OMOLGE-N7VR4-6S2FFO,BTC/USD
a,2024-11-12T06:50:46.168502495Z,2024-11-11 23:50:45.978153,89751.2,0.02222991,add,O7IANV-FT7HH-QLCB44,BTC/USD
a,2024-11-12T06:50:46.248057353Z,2024-11-11 23:50:45.978381,89744.7,0.01147803,add,OMOLGE-N7VR4-6S2FFO,BTC/USD
a,2024-11-12T06:50:46.252636326Z,2024-11-11 23:50:45.978604,89749.4,2.7855362,add,OH6P6D-NYI66-UQRTEY,BTC/USD
a,2024-11-12T06:50:46.261445019Z,2024-11-11 23:50:45.978842,3391.15,4.24812982,delete,OV23UF-LSJJI-O5Y7IJ,ETH/USD
a,2024-11-12T06:50:46.261691843Z,2024-11-11 23:50:45.979100,3391.15,4.24812982,delete,OJWNHR-OWFLT-MHOXKU,ETH/USD
a,2024-11-12T06:50:45.001764838Z,2024-11-11 23:50:45.979100,3392.5,73.69196974,add,O7KSEL-QULB4-NSHO24,ETH/USD
b,2024-11-12T06:50:46.279792198Z,2024-11-11 23:50:45.979330,0.399202,45181.98064847,add,O4WXPT-ZBJU3-5A7GK5,DOGE/USD
a,2024-11-12T06:50:46.285848173Z,2024-11-11 23:50:45.979554,221.0,18.11682448,add,OGVJF5-MRLAU-JLFW53,SOL/USD
b,2024-11-12T06:50:46.294645357Z,2024-11-11 23:50:45.979784,220.84,45.28035778,delete,OL3RYP-RWXV4-Y7BWYK,SOL/USD
b,2024-11-12T06:50:42.621065465Z,2024-11-11 23:50:45.979784,220.7,7.911,add,OMHDQP-K2N5J-3S2JHU,SOL/USD
a,2024-11-12T06:50:46.221290961Z,2024-11-11 23:50:45.980011,3389.43,0.0087801,delete,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
a,2024-11-12T06:50:46.297843922Z,2024-11-11 23:50:45.980223,3390.2,0.0087801,add,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
b,2024-11-12T06:50:46.301527688Z,2024-11-11 23:50:45.980341,3387.85,0.84574642,add,OUXS4Q-MGTPB-L2PK6Z,ETH/USD
b,2024-11-12T06:50:46.302715142Z,2024-11-11 23:50:45.980505,220.84,45.28165187,add,OPJMTM-6KLNN-SOHMG5,SOL/USD
b,2024-11-12T06:50:46.303383732Z,2024-11-11 23:50:45.981043,0.3994973,10854.74827814,add,OTPRYU-QWLAF-BAJKOB,DOGE/USD
a,2024-11-12T06:50:46.304525903Z,2024-11-11 23:50:45.981262,3390.21,2.7,delete,OHTYPC-OSYKP-YTKCEZ,ETH/USD
a,2024-11-12T06:50:45.001764838Z,2024-11-11 23:50:45.981262,3392.5,73.69196974,add,O7KSEL-QULB4-NSHO24,ETH/USD
a,2024-11-12T06:50:46.305550125Z,2024-11-11 23:50:45.981382,0.3996279,2193.75,delete,OVJEQK-BSGQ5-5U7Z5G,DOGE/USD
a,2024-11-12T06:50:46.306443434Z,2024-11-11 23:50:45.981534,89749.4,2.7855362,delete,OH6P6D-NYI66-UQRTEY,BTC/USD
a,2024-11-12T06:50:46.210385589Z,2024-11-11 23:50:45.981534,89750.2,0.00556897,add,OZP3L7-JFB7B-RTIBHU,BTC/USD
a,2024-11-12T06:50:46.309726210Z,2024-11-11 23:50:45.981648,89749.9,2.78551852,add,ONOZAU-CDTYQ-I64CT4,BTC/USD
a,2024-11-12T06:50:46.325527223Z,2024-11-11 23:50:45.981810,0.3996279,2193.75,delete,OJIE2L-OAQTB-WM3UW3,DOGE/USD
a,2024-11-12T06:50:44.942275751Z,2024-11-11 23:50:45.981810,0.3999167,2193.75,add,OGJPVK-7WYKI-YYJMMS,DOGE/USD
a,2024-11-12T06:50:46.326162560Z,2024-11-11 23:50:45.981976,3390.99,0.11047704,add,OUJPMX-4RBLL-VLI3NW,ETH/USD
a,2024-11-12T06:50:46.194775497Z,2024-11-11 23:50:45.982247,220.94,0.05310886,delete,OTIWSF-LGU7J-3TVJX3,SOL/USD
a,2024-11-12T04:46:23.478328970Z,2024-11-11 23:50:45.982247,221.05,3.49631248,add,OXDS7D-JHI7B-STBP4H,SOL/USD
a,2024-11-12T04:55:00.731085620Z,2024-11-11 23:50:45.982247,221.05,0.0599927,add,OWG3A5-YCSVW-YQY2GG,SOL/USD
a,2024-11-12T05:47:29.958144899Z,2024-11-11 23:50:45.982247,221.05,0.23518,add,OR6USY-WK6BJ-ZPHAZJ,SOL/USD
a,2024-11-12T06:50:46.326976605Z,2024-11-11 23:50:45.982434,220.89,0.05310886,add,OTIWSF-LGU7J-3TVJX3,SOL/USD
b,2024-11-12T06:50:46.327641213Z,2024-11-11 23:50:45.982631,220.84,45.28165187,delete,OPJMTM-6KLNN-SOHMG5,SOL/USD
b,2024-11-12T06:50:42.621065465Z,2024-11-11 23:50:45.982631,220.7,7.911,add,OMHDQP-K2N5J-3S2JHU,SOL/USD
b,2024-11-12T06:50:46.327680678Z,2024-11-11 23:50:45.982887,3387.22,0.11047704,add,OWLYBB-7VPUN-GR34WB,ETH/USD
a,2024-11-12T06:50:46.327810089Z,2024-11-11 23:50:45.983055,3390.89,0.11047704,add,O5SM2H-OUKWC-N36HIX,ETH/USD
b,2024-11-12T06:50:46.327972925Z,2024-11-11 23:50:45.983274,3387.19,0.11047704,add,OX7SHS-LOZWS-SVOW2O,ETH/USD
a,2024-11-12T06:50:46.328779418Z,2024-11-11 23:50:45.983507,0.3996147,14910.99876212,add,O6CMPP-KK7YY-N2IVAC,DOGE/USD
a,2024-11-12T06:50:46.332917279Z,2024-11-11 23:50:45.983805,0.3996147,14910.99876212,delete,O6CMPP-KK7YY-N2IVAC,DOGE/USD
a,2024-11-12T06:50:44.942275751Z,2024-11-11 23:50:45.983805,0.3999167,2193.75,add,OGJPVK-7WYKI-YYJMMS,DOGE/USD
a,2024-11-12T06:50:46.335726949Z,2024-11-11 23:50:45.984064,3389.43,14.75494035,delete,OL45JM-V3F6K-XOHANF,ETH/USD
a,2024-11-12T06:50:45.037276713Z,2024-11-11 23:50:45.984064,3392.49,1.472,add,OFPWIZ-FNSMP-DUH5BO,ETH/USD
a,2024-11-12T06:50:45.039269800Z,2024-11-11 23:50:45.984064,3392.49,2.956,add,OZ73BX-QCKBR-OLLTFD,ETH/USD
a,2024-11-12T06:50:46.297843922Z,2024-11-11 23:50:45.985076,3390.2,0.0087801,delete,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
a,2024-11-12T06:50:45.001764838Z,2024-11-11 23:50:45.985076,3392.5,73.69196974,add,O7KSEL-QULB4-NSHO24,ETH/USD
a,2024-11-12T06:50:46.336028459Z,2024-11-11 23:50:45.985233,3391.69,0.0087801,add,OQS3QQ-M7SGB-VFEJNZ,ETH/USD
