timestamp,symbol,open,high,low,close,volume,vwap,trades,tstart,ttrue
2024-11-12T06:05:00.000000Z,DOGE/USD,0.3999998,0.408153,0.3972801,0.4073915,2074537.56515491,0.4036704,659,2024-11-12T06:00:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:10:00.000000Z,DOGE/USD,0.4072298,0.4142552,0.4060594,0.4092441,3453689.44820097,0.410614,858,2024-11-12T06:05:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:15:00.000000Z,DOGE/USD,0.4091054,0.4100649,0.4040289,0.4100649,2508732.74098766,0.407358,653,2024-11-12T06:10:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:20:00.000000Z,DOGE/USD,0.409781,0.410063,0.4008259,0.4061762,3435891.93811676,0.4061962,795,2024-11-12T06:15:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:25:00.000000Z,DOGE/USD,0.4069814,0.4085176,0.4048119,0.4053492,1359137.09704479,0.4061372,359,2024-11-12T06:20:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:30:00.000000Z,DOGE/USD,0.4053975,0.4054126,0.3958339,0.3977176,10941181.53805361,0.3998838,1341,2024-11-12T06:25:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:35:00.000000Z,DOGE/USD,0.3975692,0.4032163,0.3923082,0.4018217,2807127.54853775,0.3981429,698,2024-11-12T06:30:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:40:00.000000Z,DOGE/USD,0.4019431,0.4051549,0.3982568,0.402663,3603455.93163577,0.4015565,576,2024-11-12T06:35:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:45:00.000000Z,DOGE/USD,0.4024629,0.404456,0.400316,0.4007367,1693707.20001071,0.401593,324,2024-11-12T06:40:00.000000000Z,2024-11-12T06:44:37.974430448Z
2024-11-12T06:45:00.000000Z,DOGE/USD,0.4024629,0.404456,0.400316,0.4008142,1723628.8811473,0.4015799,334,2024-11-12T06:40:00.000000000Z,2024-11-12T06:44:38.117534563Z
2024-11-12T06:45:00.000000Z,DOGE/USD,0.4024629,0.404456,0.400316,0.4004497,1823628.8811473,0.4015265,347,2024-11-12T06:40:00.000000000Z,2024-11-12T06:44:40.985171321Z
